vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold
11,0.25,426,6,0.021147966384887695,10219,10000,0.5,0.75
11,0.5,448,7,0.021604299545288086,10548,10000,0.5,0.75
11,0.75,496,9,0.02133798599243164,10375,10000,0.5,0.75
12,0.125,361,8,0.021434307098388672,10138,10000,0.5,0.75
12,0.25,553,11,0.021599292755126953,10298,10000,0.5,0.75
12,0.5,497,11,0.021478891372680664,10332,10000,0.5,0.75
12,0.75,405,7,0.021607160568237305,10511,10000,0.5,0.75
13,0.125,448,8,0.02072930335998535,10117,10000,0.5,0.75
13,0.25,295,6,0.02178215980529785,10185,10000,0.5,0.75
13,0.5,501,9,0.02134251594543457,10295,10000,0.5,0.75
13,0.75,572,12,0.021387577056884766,11243,10000,0.5,0.75
14,0.125,351,8,0.020739078521728516,10105,10000,0.5,0.75
14,0.25,643,14,0.02113056182861328,10288,10000,0.5,0.75
14,0.5,727,12,0.021753549575805664,10530,10000,0.5,0.75
14,0.75,376,10,0.02171802520751953,10724,10000,0.5,0.75
15,0.125,396,9,0.02090740203857422,10139,10000,0.5,0.75
15,0.25,379,7,0.021051406860351562,10398,10000,0.5,0.75
15,0.5,614,12,0.02194356918334961,10614,10000,0.5,0.75
15,0.75,733,14,0.02178478240966797,11090,10000,0.5,0.75
16,0.125,550,11,0.02104496955871582,10157,10000,0.5,0.75
16,0.25,574,12,0.021759033203125,10256,10000,0.5,0.75
16,0.5,417,9,0.021193265914916992,10640,10000,0.5,0.75
16,0.75,677,16,0.021580219268798828,11229,10000,0.5,0.75
17,0.125,504,11,0.021474361419677734,10198,10000,0.5,0.75
17,0.25,464,10,0.021648883819580078,10286,10000,0.5,0.75
17,0.5,599,14,0.02160501480102539,10793,10000,0.5,0.75
17,0.75,564,10,0.021751880645751953,11862,10000,0.5,0.75
18,0.125,546,9,0.02278900146484375,10188,10000,0.5,0.75
18,0.25,648,15,0.029023408889770508,10529,10000,0.5,0.75
18,0.5,601,13,0.022532224655151367,10813,10000,0.5,0.75
18,0.75,728,14,0.02321028709411621,11627,10000,0.5,0.75
19,0.125,576,15,0.021688461303710938,10349,10000,0.5,0.75
19,0.25,629,12,0.02155447006225586,10629,10000,0.5,0.75
19,0.5,928,16,0.02174520492553711,10734,10000,0.5,0.75
19,0.75,899,18,0.023218154907226562,12115,10000,0.5,0.75
20,0.125,606,11,0.021742582321166992,10274,10000,0.5,0.75
20,0.25,469,14,0.021602392196655273,10426,10000,0.5,0.75
20,0.5,1128,22,0.02241206169128418,11284,10000,0.5,0.75
20,0.75,558,15,0.024211406707763672,13120,10000,0.5,0.75
21,0.125,604,14,0.021329402923583984,10261,10000,0.5,0.75
21,0.25,892,16,0.02154231071472168,10480,10000,0.5,0.75
21,0.5,937,18,0.022104978561401367,11211,10000,0.5,0.75
21,0.75,855,19,0.024553775787353516,13950,10000,0.5,0.75
22,0.125,710,14,0.02128767967224121,10376,10000,0.5,0.75
22,0.25,853,19,0.021655559539794922,10787,10000,0.5,0.75
22,0.5,774,18,0.02258467674255371,11412,10000,0.5,0.75
22,0.75,1007,20,0.02389359474182129,13326,10000,0.5,0.75
23,0.125,692,17,0.022240161895751953,10561,10000,0.5,0.75
23,0.25,1279,21,0.022608280181884766,10856,10000,0.5,0.75
23,0.5,1206,22,0.024281740188598633,11438,10000,0.5,0.75
23,0.75,795,19,0.03325295448303223,13671,10000,0.5,0.75
24,0.125,868,17,0.022276639938354492,10451,10000,0.5,0.75
24,0.25,820,16,0.02204751968383789,10543,10000,0.5,0.75
24,0.5,1244,23,0.023636579513549805,12063,10000,0.5,0.75
24,0.75,908,19,0.02465653419494629,13775,10000,0.5,0.75
25,0.125,988,17,0.021816730499267578,10439,10000,0.5,0.75
25,0.25,1015,20,0.022663116455078125,11066,10000,0.5,0.75
25,0.5,934,18,0.023400068283081055,11852,10000,0.5,0.75
25,0.75,1230,24,0.025444507598876953,15236,10000,0.5,0.75
26,0.125,941,18,0.022163867950439453,10636,10000,0.5,0.75
26,0.25,981,21,0.024814844131469727,11546,10000,0.5,0.75
26,0.5,1376,26,0.024007558822631836,12426,10000,0.5,0.75
26,0.75,1296,28,0.0274200439453125,16734,10000,0.5,0.75
27,0.125,775,17,0.02254009246826172,10882,10000,0.5,0.75
27,0.25,1328,28,0.0230252742767334,11512,10000,0.5,0.75
27,0.5,1231,23,0.02515888214111328,13155,10000,0.5,0.75
27,0.75,1267,21,0.02860093116760254,16828,10000,0.5,0.75
28,0.125,978,21,0.022559404373168945,10602,10000,0.5,0.75
28,0.25,1189,21,0.0226285457611084,11594,10000,0.5,0.75
28,0.5,1215,23,0.024460554122924805,13296,10000,0.5,0.75
28,0.75,1244,31,0.026971101760864258,15687,10000,0.5,0.75
29,0.125,1289,21,0.02206277847290039,10719,10000,0.5,0.75
29,0.25,1523,31,0.02300095558166504,11322,10000,0.5,0.75
29,0.5,1388,30,0.024078369140625,12896,10000,0.5,0.75
29,0.75,1356,28,0.027586936950683594,15796,10000,0.5,0.75
30,0.125,1313,28,0.021977663040161133,10785,10000,0.5,0.75
30,0.25,922,25,0.022851228713989258,11666,10000,0.5,0.75
30,0.5,1291,27,0.024517059326171875,13551,10000,0.5,0.75
30,0.75,1424,32,0.02774977684020996,16384,10000,0.5,0.75
4,0.125,66,1,0.021384477615356445,10003,10000,0.25,0.5
4,0.25,52,2,0.022053241729736328,10012,10000,0.25,0.5
4,0.5,87,1,0.020991086959838867,10028,10000,0.25,0.5
4,0.75,69,1,0.021309614181518555,10038,10000,0.25,0.5
5,0.125,150,2,0.023206472396850586,10012,10000,0.25,0.5
5,0.25,168,2,0.02404165267944336,10024,10000,0.25,0.5
5,0.5,25,1,0.021225690841674805,10041,10000,0.25,0.5
5,0.75,18,2,0.02142643928527832,10057,10000,0.25,0.5
6,0.125,78,2,0.022981882095336914,10012,10000,0.25,0.5
6,0.25,74,2,0.023041725158691406,10021,10000,0.25,0.5
6,0.5,178,2,0.0231473445892334,10045,10000,0.25,0.5
6,0.75,253,4,0.02145695686340332,10109,10000,0.25,0.5
7,0.125,129,3,0.02414107322692871,10029,10000,0.25,0.5
7,0.25,143,3,0.02097630500793457,10038,10000,0.25,0.5
7,0.5,430,6,0.021262168884277344,10102,10000,0.25,0.5
7,0.75,122,4,0.02149486541748047,10197,10000,0.25,0.5
8,0.125,286,4,0.025943994522094727,10062,10000,0.25,0.5
8,0.25,249,5,0.020690441131591797,10045,10000,0.25,0.5
8,0.5,190,4,0.020821094512939453,10123,10000,0.25,0.5
8,0.75,214,4,0.02144336700439453,10146,10000,0.25,0.5
9,0.125,156,4,0.021180391311645508,10081,10000,0.25,0.5
9,0.25,259,6,0.021000146865844727,10072,10000,0.25,0.5
9,0.5,279,5,0.02139115333557129,10120,10000,0.25,0.5
9,0.75,243,8,0.021239519119262695,10365,10000,0.25,0.5
10,0.125,222,5,0.021208763122558594,10075,10000,0.25,0.5
10,0.25,167,5,0.020831584930419922,10087,10000,0.25,0.5
10,0.5,358,8,0.02102947235107422,10250,10000,0.25,0.5
10,0.75,373,8,0.02144598960876465,10383,10000,0.25,0.5
11,0.125,221,5,0.020829200744628906,10119,10000,0.25,0.5
11,0.25,515,8,0.02099466323852539,10169,10000,0.25,0.5
11,0.5,322,5,0.020872831344604492,10221,10000,0.25,0.5
11,0.75,311,6,0.021285533905029297,10330,10000,0.25,0.5
12,0.125,271,7,0.021112442016601562,10131,10000,0.25,0.5
12,0.25,402,8,0.021967172622680664,10220,10000,0.25,0.5
12,0.5,310,8,0.0215909481048584,10238,10000,0.25,0.5
12,0.75,504,8,0.021688461303710938,10650,10000,0.25,0.5
13,0.125,428,7,0.02205681800842285,10095,10000,0.25,0.5
13,0.25,369,8,0.021862506866455078,10196,10000,0.25,0.5
13,0.5,588,10,0.021303653717041016,10404,10000,0.25,0.5
13,0.75,592,10,0.022420406341552734,10742,10000,0.25,0.5
14,0.125,465,9,0.021227598190307617,10190,10000,0.25,0.5
14,0.25,371,9,0.02128911018371582,10217,10000,0.25,0.5
14,0.5,523,13,0.021862268447875977,10545,10000,0.25,0.5
14,0.75,570,15,0.02208876609802246,10799,10000,0.25,0.5
15,0.125,265,8,0.021704673767089844,10244,10000,0.25,0.5
15,0.25,615,12,0.021270751953125,10231,10000,0.25,0.5
15,0.5,820,13,0.02160954475402832,10567,10000,0.25,0.5
15,0.75,532,14,0.02189922332763672,10980,10000,0.25,0.5
16,0.125,624,14,0.021427392959594727,10155,10000,0.25,0.5
16,0.25,828,14,0.02159905433654785,10298,10000,0.25,0.5
16,0.5,496,10,0.021149396896362305,10614,10000,0.25,0.5
16,0.75,654,13,0.022240638732910156,11111,10000,0.25,0.5
17,0.125,572,11,0.021463632583618164,10300,10000,0.25,0.5
17,0.25,715,12,0.021933317184448242,10327,10000,0.25,0.5
17,0.5,708,13,0.021756887435913086,10728,10000,0.25,0.5
17,0.75,695,14,0.02223682403564453,11616,10000,0.25,0.5
18,0.125,554,9,0.02164459228515625,10133,10000,0.25,0.5
18,0.25,833,14,0.02198171615600586,10436,10000,0.25,0.5
18,0.5,611,12,0.021996021270751953,10669,10000,0.25,0.5
18,0.75,977,19,0.02298712730407715,12297,10000,0.25,0.5
19,0.125,397,12,0.021716594696044922,10410,10000,0.25,0.5
19,0.25,875,16,0.021668672561645508,10454,10000,0.25,0.5
19,0.5,647,14,0.021980762481689453,10830,10000,0.25,0.5
19,0.75,1114,18,0.023045063018798828,12050,10000,0.25,0.5
20,0.125,674,14,0.02179861068725586,10306,10000,0.25,0.5
20,0.25,667,15,0.021743059158325195,10387,10000,0.25,0.5
20,0.5,689,15,0.021955490112304688,10845,10000,0.25,0.5
20,0.75,1037,18,0.023276567459106445,12276,10000,0.25,0.5
21,0.125,970,18,0.021575450897216797,10247,10000,0.25,0.5
21,0.25,1228,20,0.02219557762145996,11217,10000,0.25,0.5
21,0.5,637,17,0.022040605545043945,11102,10000,0.25,0.5
21,0.75,645,18,0.023709774017333984,12830,10000,0.25,0.5
22,0.125,461,11,0.02175617218017578,10391,10000,0.25,0.5
22,0.25,936,17,0.021589279174804688,10539,10000,0.25,0.5
22,0.5,656,17,0.022719144821166992,11639,10000,0.25,0.5
22,0.75,1167,19,0.02371954917907715,12751,10000,0.25,0.5
23,0.125,691,17,0.022484779357910156,10452,10000,0.25,0.5
23,0.25,922,19,0.022318124771118164,11023,10000,0.25,0.5
23,0.5,1206,21,0.02290654182434082,11617,10000,0.25,0.5
23,0.75,1065,26,0.0253751277923584,14285,10000,0.25,0.5
24,0.125,657,17,0.021776199340820312,10566,10000,0.25,0.5
24,0.25,741,17,0.022218704223632812,10665,10000,0.25,0.5
24,0.5,1223,23,0.02341771125793457,11919,10000,0.25,0.5
24,0.75,899,21,0.024918556213378906,14203,10000,0.25,0.5
25,0.125,1149,21,0.022047042846679688,10506,10000,0.25,0.5
25,0.25,1250,23,0.022403955459594727,11183,10000,0.25,0.5
25,0.5,1498,29,0.02316594123840332,11938,10000,0.25,0.5
25,0.75,1136,25,0.0257110595703125,15387,10000,0.25,0.5
26,0.125,714,15,0.02200913429260254,10389,10000,0.25,0.5
26,0.25,1283,27,0.022740840911865234,11315,10000,0.25,0.5
26,0.5,905,23,0.023285865783691406,12116,10000,0.25,0.5
26,0.75,1520,31,0.026823759078979492,16503,10000,0.25,0.5
27,0.125,1114,24,0.02172374725341797,10504,10000,0.25,0.5
27,0.25,1026,19,0.02274799346923828,11395,10000,0.25,0.5
27,0.5,1321,30,0.024280786514282227,13055,10000,0.25,0.5
27,0.75,1347,23,0.028972625732421875,17092,10000,0.25,0.5
28,0.125,1153,27,0.02203989028930664,10607,10000,0.25,0.5
28,0.25,1046,19,0.022310972213745117,11388,10000,0.25,0.5
28,0.5,1246,23,0.024505138397216797,13373,10000,0.25,0.5
28,0.75,1395,30,0.026862382888793945,15689,10000,0.25,0.5
29,0.125,1234,19,0.021602153778076172,10557,10000,0.25,0.5
29,0.25,1467,28,0.021988391876220703,11121,10000,0.25,0.5
29,0.5,1226,26,0.023077964782714844,12060,10000,0.25,0.5
29,0.75,1624,34,0.028433799743652344,16836,10000,0.25,0.5
30,0.125,956,24,0.021874427795410156,10859,10000,0.25,0.5
30,0.25,1254,25,0.022574186325073242,11606,10000,0.25,0.5
30,0.5,1427,27,0.0249330997467041,13603,10000,0.25,0.5
30,0.75,1505,30,0.03029632568359375,18521,10000,0.25,0.5
